Abk,Name
GSUS.DE,I.X.MS.G.SDG 9 IN.I+IN.DL
GSZ.DE,CSSC Offshore &amp; Marine Engineering (Group) Company Limited
GTN.DE,Getinge AB
GTR.DE,The Goodyear Tire & Rubber Company
GTX.DE,Gentex Corporation
GTY.DE,Gateway Real Estate AG
GUG.DE,Guangdong Investment Ltd.
GWW.DE,"W.W. Grainger, Inc."
GXC.DE,"CGX Energy, Inc."
GXG.DE,Nanoco Group plc
GYC.DE,Grand City Properties S.A.
HAL.DE,Halliburton Company
HAO.DE,HNA Infrastructure Company Limited
HAS.DE,"Hasbro, Inc."
HBI.DE,Harvard Bioscience Inc.
HBM.DE,HORNBACH Baumarkt AG
HCG.DE,The Hong Kong and China Gas Company Limited
HCM.DE,"Hitachi Construction Machinery Co., Ltd."
HDB.DE,Azimut Holding Spa
HDLV.DE,Invesco S&P 500 High Dividend Low Volatility UCITS ETF
HDP.DE,"Arrowhead Pharmaceuticals, Inc."
HEI.DE,Heidelberg Materials AG
HEMP.DE,Deutsche Cannabis AG
HHC.DE,"Ku6 Media Co., Ltd."
HHS.DE,Artstor AG
HIGH.DE,Cantourage Group SE
HII.DE,"Harman International Industries, Incorporated"
HLT.DE,Lyxor Index Fund - Lyxor Stoxx Europe 600 Healthcare UCITS ETF Acc
HLTH.DE,SPDR MSCI Europe Health Care UCITS ETF
HMC.DE,Harmonic Inc.
HOV.DE,Xchanging plc
HPE.DE,"Hokuetsu Kishu Paper Co., Ltd."
HRB.DE,"H&amp;R Block, Inc."
HRT.DE,Sherritt International Corporation
HSY.DE,The Hershey Company
HTD.DE,Corcept Therapeutics Incorporated
HTH.DE,Hutchinson Technology Inc.
HUM.DE,Humana Inc.
HWC.DE,Heiwa Corp.
HXL.DE,Hexcel Corp.
HYB.DE,Hoya Corp.
HYI.DE,Hyrican Informationssysteme AG
IBCC.DE,iShares $ Treasury Bond 0-1yr UCITS ETF
IBCD.DE,iShares $ Corp Bond UCITS ETF USD (Dist)
IBCE.DE,iShares V Public Limited Company - iShares MSCI USA UCITS ETF
IBCI.DE,iShares € Inflation Linked Govt Bond UCITS ETF
IBCS.DE,iShares € Corp Bond Large Cap UCITS ETF
IBM.DE,International Business Machines Corporation
IDA.DE,"Indra Sistemas, S.A."
IDT.DE,"Integrated Device Technology, Inc."
IEF.DE,Videlio SA
IEI.DE,Insight Enterprises Inc.
IERA.DE,iShares FTSEurofirst 80 ETF EUR Dist
IEXA.DE,iShares € Corp Bond ex-Financials UCITS ETF
IGS.DE,"India Globalization Capital, Inc."
III.DE,3i Group Plc
IIVI.DE,IN.XT.GL.INF.LI.BD 5C SF
IMV.DE,iShares Edge MSCI Europe Minimum Volatility UCITS ETF EUR (Acc)
INAA.DE,iShares MSCI North America UCITS ETF
INAB.DE,INAV IS.STX E 600 B R(DE)
INAG.DE,INAV IS.STX E 600F.S.(DE)
INAR.DE,INAV EBREXX GOVGER EX
INAU.DE,INAV EBREXX GOVGE55-105EX
INDA.DE,Lyxor Index Fund - Lyxor Stoxx Europe 600 Banks UCITS ETF
INDB.DE,Lyxor Index Fund - Lyxor Stoxx Europe 600 Telecommunications UCITS ETF
INDU.DE,Lyxor Index Fund - Lyxor STOXX Europe 600 Industrial Goods & Services UCITS ETF
INP.DE,International Paper Company
INR.DE,Lyxor MSCI India UCITS ETF Acc EUR
INT.DE,Intracom Holdings SA
INTL.DE,WisdomTree Artificial Intelligence UCITS ETF
IOT.DE,Xpress Holdings Ltd
IPG.DE,"The Interpublic Group of Companies, Inc."
IPK.DE,Qiagen Marseille Société Anonyme
IPO.DE,Heidelberger Beteiligungsholding AG
IPW.DE,Infinity Property and Casualty Corp.
IQI.DE,Mount Magnet South Limited
IQQC.DE,iShares China Large Cap UCITS ETF
IRM.DE,Isramco Inc.
ITB.DE,Imperial Brands PLC
ITE.DE,"China Titans Energy Technology Group Co., Limited"
ITP.DE,Indocement Tunggal Prakarsa tbk PT
ITT.DE,ITT Inc.
IUSA.DE,iShares Core S&P 500 UCITS ETF USD Dist
IUSB.DE,iShares Global Timber & Forestry UCITS ETF
IUSP.DE,iShares J.P. Morgan EM Local Govt Bond UCITS ETF
IUSS.DE,iShares MSCI Saudi Arabia Capped UCITS ETF
IUSV.DE,iShares $ Treasury Bond 20+yr UCITS ETF EUR Hedged (Dist)
IVH.DE,Nubian Resources Ltd
IXJ.DE,Ixia
IYXI.DE,IN.FR.CA.PR.EM SOV.DEB.LS
JAN.DE,Japan Asia Investment Co. Ltd.
JBL.DE,Jabil Circuit Inc.
JBT.DE,John Bean Technologies Corporation
JEM.DE,Jeronimo Martins SGPS SA
JETS.DE,HANetf - U.S. Global Jets UCITS ETF
JFR.DE,"JFE Holdings, Inc."
JMBA.DE,JPMorgan ETFs (Ireland) ICAV - USD Emerging Markets Sovereign Bond UCITS ETF
JMM.DE,JM AB (publ)
JNJ.DE,Johnson & Johnson
JNP.DE,"Juniper Networks, Inc."
JOE.DE,The St. Joe Company
JPEM.DE,BNPP E JPM GBI EMU ETF C
JPNH.DE,Lyxor Japan (Topix) (DR) UCITS ETF
JPX.DE,"AeroVironment, Inc."
KAP.DE,Kansai Paint Co. Ltd.
KBH.DE,KB Home
KEY.DE,KeyCorp
KFS.DE,Kingsway Financial Services Inc.
KIO.DE,Fitzroy River Corporation Ltd.
KOP.DE,Korea Electric Power Corp.
KRC.DE,Kilroy Realty Corporation
KROP.DE,Global X AgTech & Food Innovation UCITS ETF
KRT.DE,Krungthai Card Public Co. Ltd.
KTF.DE,Mondelez International Inc
KTN.DE,Kontron AG
LAB.DE,Laboratory Corp. of America Holdings
